id,composition,number
mp-1013849,Li24 Fe16 Ge24 O96,230
mp-1044928,La2 Mg2 Cr4 O12,31
mp-1094111,Sr10 Fe10 O28,47
mp-1101709,Na2 Fe24 O38,36
mp-1103939,Mn18 Si21,166
mp-1188480,Mn10 Si6,51
mp-1204904,Nd12 Ru4 O28,11
mp-1209899,Ni4 Mo6 O16,186
mp-1213022,Er4 Rh4 O12,62
mp-1215217,Zr4 Nb4 Cr16,216
mp-1215601,Zr4 Cr6 Si2,194
mp-1218265,Sr1 La3 Cr4 O12,3
mp-1221787,Mn8 Nb3 Si1,156
mp-1223018,La2 Fe4 Pb2 O12,31
mp-1227724,Ca3 Mn4 Bi1 O12,6
mp-1227926,Ca8 Y4 Mn12 O36,62
mp-1235273,Li1 Nd4 Rh4 O12,6
mp-1265277,Ca24 Mn16 Si24 O96,142
mp-1340758,Y4 Cu4 O12,62
mp-1379764,Ca4 V2 Ir2 O12,14
mp-16796,Sr4 Gd2 Ru2 O12,14
mp-20406,Lu16 V16 O56,227
mp-2232127,Ba2 Mg1 Fe4 O8,149
mp-26069,Li12 Fe8 P12 O48,14
mp-33623,Lu16 V16 O52,216
mp-546027,Cr6 Bi6 O18,161
mp-556723,Na24 Fe16 As24 O96,230
mp-561035,Ba2 Fe4 Se8 O24,13
mp-562216,Ba8 Co4 Si8 O28,15
mp-566548,Ba2 Fe36 O54,194
mp-690536,Sr8 Fe8 O22,58
mp-737304,Mn36 Si16 O72,33
mp-754215,Mn16 O4 F24,186
mp-754243,Cr8 O2 F22,5
mp-754602,Fe12 O20 F4,12
mp-754895,Li2 V2 F8,14
mp-757465,Li4 Fe4 P4 O16,33
mp-758208,Li8 Fe8 P16 O56,15
mp-758926,Li8 Fe8 P8 O32,43
mp-759282,Li12 Fe8 P12 O48,18
mp-759590,Fe8 O14 F2,44
mp-775287,Fe20 O2 F38,38
mp-778510,Li4 Fe4 F16,60
mp-780699,V4 O1 F11,3
mp-781049,V16 O4 F44,5
mp-850398,Mn12 O8 F16,65
mp-887367,Fe20 O2 F38,38
mp-1094099,Sr10 Fe10 O27,25
mp-1096967,Fe12 F36,63
mp-1172860,Mn8 Te8,74
mp-1178278,Fe10 O16 F4,14
mp-1178392,Fe16 O24,61
mp-1178903,V4 F12,15
mp-1200659,Ce4 Rh8 O20,62
mp-1207705,Tm4 Rh4 O12,62
mp-1210954,Li2 Sm4 Ru2 O12,14
mp-1211638,Mn24 Ga16 Ge24 O96,230
mp-1214474,Ba4 Fe8 F28,14
mp-1214498,Ca12 Nd32 Ru16 O96,80
mp-1218581,Sr1 Ca3 V4 O12,6
mp-1227410,Ca2 La2 Mn4 O12,11
mp-1227481,Ca4 Nd2 Ru2 O12,7
mp-1233249,Nd4 Mg1 Rh4 O12,6
mp-12449,Li2 Pr4 Os2 O12,14
mp-1247006,Zr4 Cr4 Ag4 S16,59
mp-1247625,Sr3 Ca5 Mn8 O23,6
mp-1247739,Zr4 Cr4 S16,74
mp-1272996,La2 Mn2 O6,55
mp-1287594,Ca8 Co4 Ir4 O24,14
mp-1306506,Ca8 Fe4 Ir4 O24,14
mp-1310548,Ca8 Co4 Ir4 O24,7
mp-1350656,Y8 Mn12 O36,62
mp-1370470,Ca12 V8 O28,36
mp-1371664,Ca4 Cr4 O10,55
mp-14051,Ca24 Mn16 Si24 O96,230
mp-18493,Na24 Fe12 P18 O72,167
mp-22616,Co4 Se4 O12,62
mp-31354,Pr12 Os4 O28,63
mp-650285,Mn28 Si46,58
mp-752551,Ni12 O4 F20,12
mp-753032,Li4 Mn8 F20,15
mp-753194,Fe8 O14 F2,4
mp-753963,Cr4 O4 F4,14
mp-754412,Fe6 O10 F2,4
mp-754817,Co12 O2 F22,38
mp-755255,Cu6 O2 F10,4
mp-755279,Fe12 O20 F4,8
mp-756285,V8 O4 F20,5
mp-756792,Fe16 O28 F4,15
mp-759739,V6 O3 F15,149
mp-760072,La7 Mn8 O23,6
mp-765633,Mn6 F18,150
mp-776164,Li2 Fe2 F8,14
mp-863395,Li12 Co12 P12 O48,14
mp-1013794,Na24 Co16 Ge24 O96,230
mp-1041904,Ca8 Mn8 Si16 O48,61
mp-1076508,La8 Cr8 O20,46
mp-1094044,Sr1 Ca3 Mn4 O12,6
mp-1100804,Zr8 Cr8 F12,8
mp-1101512,Li4 Fe4 P8 O28,14
mp-1101913,Mn4 Se4 O16,40
mp-1147774,Ba8 Ni4 Ru4 O24,194
mp-1178275,Fe20 O32 F8,5
mp-1178308,Fe6 O10 F2,31
mp-1188108,Sr4 Dy2 Ru2 O12,14
mp-1194374,Nb8 V2 S16,194
mp-1195892,Rb4 Fe8 F24,62
mp-1198989,Mn10 Si4 O20,14
mp-1212108,Ho4 Rh4 O12,62
mp-1215405,Zr4 Al4 Cr12,63
mp-1222206,Mn10 Si3 Ge3,189
mp-1222225,Mn14 Si6 O28,4
mp-1223294,La3 Al1 Fe4 O12,6
mp-1227182,Ca1 La3 Mn4 O12,6
mp-1228254,Ba10 Co8 Pt2 Cl2 O26,194
mp-1228609,Ba20 Co16 Pt4 Cl4 O52,36
mp-1233489,Nd4 Mg1 Rh4 O12,6
mp-1235272,Li1 Nd4 Rh4 O12,6
mp-1246425,Zr4 Cr4 Ag4 S16,74
mp-1249486,Mn24 Si24 O96,230
mp-1326076,Ca24 Mn16 Ge24 O96,230
mp-1331382,Y8 V12 O36,19
mp-16672,Nd4 Mo20 O32,14
mp-17666,Nd12 Os4 O28,63
mp-19050,Ca16 Mn8 O32,142
mp-20223,Mn8 Ge4 O16,62
mp-2229988,Sr4 Mg1 Fe4 O11,10
mp-567968,Mn44 Si76,118
mp-6294,Sr4 Er2 Ru2 O12,14
mp-644332,K4 Mn4 F12,11
mp-715276,Fe8 O12,33
mp-752590,Na8 Fe8 O20,46
mp-754373,Na16 Fe8 O24,64
mp-755067,Cr4 O1 F11,3
mp-755670,Fe12 O20 F4,12
mp-757174,Li3 Mn6 F18,150
mp-758075,Fe8 H16 O8 F20,74
mp-758462,La8 Mn8 O22,7
mp-761145,V6 O2 F14,63
mp-765598,Li24 Fe16 P24 O96,230
mp-849358,Mn6 O4 F8,136
mp-1105304,Ca4 Fe2 Os2 O12,14
mp-1105518,Ca4 Cr2 Os2 O12,14
mp-1105811,Sc4 Mn4 O12,14
mp-1176733,Li2 Fe4 C4 O14,159
mp-1178284,Fe10 O16 F4,14
mp-1178420,Co6 Pb6 O18,148
mp-1192540,Nb8 Ni2 S16,194
mp-1193395,Lu6 Fe6 O18,185
mp-1208073,Tm8 Ga36 Ir12,63
mp-1212874,Er8 Ga36 Ir12,63
mp-1218655,Sr12 U4 Fe8 O36,71
mp-1223365,La4 Cu2 Rh2 O12,14
mp-1227198,Ca4 La4 Ga4 Cu4 O20,8
mp-1227732,Ca3 La1 Mn4 O12,6
mp-1228836,Ba2 Fe24 O38,186
mp-1237224,Zr2 Al2 Cr6,194
mp-1251643,Ca4 Al2 V2 O10,46
mp-1271792,V8 O16,74
mp-1317719,Ca2 Y2 Mn4 O12,7
mp-1567687,V6 O2 F14,12
mp-17753,Nd12 Ru4 O28,63
mp-18952,Ca16 Mn8 O28,64
mp-19153,Lu16 Mn16 O56,227
mp-19396,Na16 Fe8 O20,14
mp-21507,Ca4 La4 Mn8 O24,58
mp-530455,La24 Mn22 O72,14
mp-542397,Lu4 Mn8 O20,55
mp-554060,Na18 Pr84 Ru36 O216,167
mp-559851,Cr4 Bi4 O12,62
mp-568121,Mn16 Si28,54
mp-621994,Nd8 Os8 O32,33
mp-625242,Fe4 H4 O8,62
mp-6603,Sr4 Ce2 Ir2 O12,14
mp-698549,Ca8 Mn8 O22,4
mp-754231,Lu4 Ti4 O12,62
mp-754878,Cu6 O2 F10,7
mp-755244,Li4 V4 F16,109
mp-756820,Fe12 O20 F4,38
mp-757925,Li4 Ni8 C8 O32,14
mp-759366,Cr8 O2 F22,5
mp-764357,V6 O3 F15,143
mp-765588,Li4 Fe4 P4 O16,198
mp-766138,Li12 Fe8 P8 O40,64
mp-780861,Fe16 O28 F4,12
mp-780870,Fe16 O28 F4,38
mp-849460,Mn8 O4 F12,14
mp-997553,Fe8 O14 F2,11
mp-1079443,Mn4 Te4,62
mp-10856,Er2 B4 C4,127
mp-1097715,La8 Cr8 O20,46
mp-1176417,Mn4 Te4 O12,62
mp-1176698,Li2 Fe2 F6,20
mp-1192215,Cs4 V4 F16,59
mp-1207617,Yb8 Ga36 Ir12,63
mp-1210608,Mg4 Mn4 Si4 O16,62
mp-1210924,Li2 Tb4 Ru2 O12,14
mp-1211106,Li2 Pr4 Ru2 O12,14
mp-1212884,Dy4 Rh4 O12,62
mp-1227194,Ca1 La3 Fe4 O12,6
mp-1227476,Ca2 La6 Mn8 O20,7
mp-1233484,Ca1 Nd4 Rh4 O12,6
mp-1247627,Sr2 Ca6 Mn8 O23,25
mp-1261316,Ca8 Al4 Cr4 O20,46
mp-1272187,Ca4 Mn2 Ga2 O10,5
mp-1279320,La2 Mn2 O6,83
mp-1281528,La2 Mn2 O6,26
mp-1340170,Ca4 Ti2 Ir2 O12,14
mp-1367307,Ca4 Cr2 Ir2 O12,14
mp-1435359,Ca4 V4 O12,14
mp-20161,Na4 Co2 Ge2 O8,31
mp-22224,Mn4 Se4 O12,62
mp-2230058,Sr8 Mg2 Fe8 O22,38
mp-22554,Mn4 S4 O16,63
mp-4233,K2 Mn2 Sb2,129
mp-4789,Pr4 Rh4 O12,62
mp-540658,Na12 Fe20 O36,15
mp-542896,Fe16 O24,33
mp-5433,Pr12 Ru4 O28,63
mp-554162,Ca16 Mn12 O40,61
mp-555804,Na18 Nd84 Ru36 O216,167
mp-556890,Ba4 Na4 Cr8 F36,14
mp-558695,Ba16 Mn16 Si16 O72,61
mp-560382,K4 Mn4 F12,127
mp-614777,Ni6 F18,148
mp-752687,Fe8 O12 F4,63
mp-755627,Na8 Fe4 O12,36
mp-756017,Mn12 O2 F22,38
mp-768683,Li6 Fe12 S18 O72,167
mp-776692,Li4 Fe8 F28,14
mp-780328,Fe10 O16 F4,6
mp-780895,Fe16 O28 F4,8
mp-849226,Li4 Fe4 F16,14
mp-881173,Fe8 O2 F14,4
mp-887354,Fe20 O2 F38,38
mp-1013864,Na24 Fe16 Ge24 O96,230
mp-1042170,Ca4 Fe8 O16,63
mp-1120752,K2 Fe4 O7,162
mp-1173526,Nb6 Ni2 S12,182
mp-1191616,Mn4 Se4 O16,14
mp-1205087,Sr16 Fe16 O40,57
mp-1208846,Sr4 Co2 Si4 O14,113
mp-1211045,Li2 Gd4 Ru2 O12,14
mp-1212793,Fe8 H16 N4 F24,62
mp-1213136,Dy8 Ga36 Ir12,63
mp-1213826,Ce4 Rh4 O12,62
mp-1221054,Na4 Fe4 Ru4 O16,62
mp-1221552,Mn20 Si8 Ge4,38
mp-1226361,Cr4 Sb2 As2,26
mp-1227180,Ca2 Lu2 Mn4 O12,26
mp-1227525,Ca4 La8 Fe12 O36,62
mp-1227570,Ca4 La4 Mn8 O24,6
mp-1227659,Ca8 La4 Mn12 O36,62
mp-1227850,Ca4 La8 Mn12 O36,14
mp-12450,Li2 Nd4 Os2 O12,14
mp-1246994,Zr4 Cr4 Ag4 S16,46
mp-1250185,Ca16 Mn16 Si24 O96,142
mp-1274129,Sr8 Co4 Ge8 O28,82
mp-1326042,Ca24 Co16 Ge24 O96,230
mp-1365415,Y8 Cr12 O36,14
mp-1446564,Li4 Fe4 F12,182
mp-17237,Gd12 Ru4 O28,63
mp-18442,Mn8 Si2 O14,173
mp-1919,Zr4 Cr8,194
mp-26717,Li4 Fe4 P8 O28,14
mp-33009,Mn2 O4,58
mp-541640,Nd8 Os12 O38,197
mp-559386,Rb16 Cr40 F136,63
mp-5692,Tb4 Rh4 O12,62
mp-654223,Mn44 Ge32,62
mp-705329,Li12 Fe8 P12 O48,9
mp-752839,Mn12 O4 F20,12
mp-754513,Zr6 Mn6 O18,161
mp-755039,Fe12 O2 F22,38
mp-755423,Fe6 O10 F2,31
mp-755823,Fe6 O10 F2,6
mp-755945,Fe12 O20 F4,65
mp-756453,Fe12 O20 F4,12
mp-757315,Na8 Fe8 O20,62
mp-761186,V6 O3 F15,5
mp-778347,Li4 Fe4 F16,60
mp-780858,Fe16 O28 F4,8
mp-1042545,Ca8 Co24 O56,14
mp-1076848,Sm8 Ag8 O20,46
mp-1101212,V16 O4 F44,5
mp-1105306,Tl4 Cr4 O12,62
mp-1120815,Na3 Cr6 Bi3 O18,146
mp-1178219,Hf4 Ni4 O12,14
mp-1189260,Nb6 Cr2 S12,182
mp-1208926,Sm8 Ga36 Ir12,63
mp-1211080,Li2 Nd4 Ru2 O12,14
mp-1213497,Gd8 Ga36 Ir12,63
mp-1214642,Ba10 Lu16 Ni8 O42,87
mp-1214892,Ba4 Cr8 Ru16 O48,75
mp-1222459,Lu3 Sc1 V4 O12,6
mp-1223087,Lu8 Sc4 V12 O36,6
mp-1227126,Ca2 Y2 Mn4 O12,31
mp-1236653,Li1 Cr4 In4 O12,6
mp-1246416,Zr2 Cr2 Ag2 S8,8
mp-1272533,Ca2 La2 Mn4 O12,7
mp-1283659,Sr4 Mn2 Ga2 O10,5
mp-1344143,Ca4 V4 O10,55
mp-18456,La4 Cr4 O16,14
mp-20970,Na2 Mn2 Sb2,129
mp-2224731,Na8 Mg2 Fe8 O16,5
mp-22329,Na2 Nd4 Os2 O12,14
mp-30154,Fe8 Mo16 O28,74
mp-3165,Rb2 Mn2 Sb2,129
mp-39689,Ca2 La2 Mn4 O12,31
mp-504678,Co4 Se4 O16,62
mp-542150,Fe8 Mo16 O28,12
mp-555510,Sr4 Yb2 Ru2 O12,14
mp-560149,Sr1 Fe2 Se4 O12,10
mp-562826,Co32 Se32 O96,15
mp-605437,Fe4 H4 O8,62
mp-6373,Li12 Fe8 P12 O48,14
mp-705312,Li12 Fe12 P12 O48,33
mp-753407,Li8 Fe8 P8 O32,5
mp-753484,Cr4 O4 F4,62
mp-755907,Co8 O4 F12,14
mp-756322,Hf4 Cr4 O12,62
mp-757024,Fe6 O10 F2,10
mp-761054,Cr16 O4 F44,5
mp-766789,Mn6 F18,150
mp-768262,V6 F20,7
mp-777875,Li4 Fe4 F16,60
mp-780310,Fe10 O16 F4,14
mp-780397,Ca16 Cr8 O32,33
mp-861258,Mn12 Si12 O40,15
mp-1105485,Ca8 Cr8 O20,46
mp-1212420,Ho8 Ga36 Ir12,63
mp-680339,Mn16 Si28,116
mp-744259,Ca24 Mn16 Ge24 O96,88
mp-757118,Li2 Mn4 F12,136
mp-1013808,Na24 Ni16 Ge24 O96,230
mp-1047705,Ca4 Cr8 O16,63
mp-1048863,Ca2 La2 Cr2 Mo2 O12,7
mp-1048921,Ca2 La2 Cr2 W2 O12,7
mp-1101183,V12 O4 F28,62
mp-1101191,V6 F20,17
mp-1101708,Na2 Fe24 O38,164
mp-1178270,Fe10 O16 F4,31
mp-11892,Na2 Nd4 Ru2 O12,14
mp-1195870,Ni12 C8 O31,215
mp-1198744,Ca4 La4 Mn8 O24,31
mp-1201385,Ba6 Fe52 O82,194
mp-1205353,K4 Mn4 F12,74
mp-1208552,Tb8 Al36 Ir12,63
mp-1213842,Cr6 Pb10 Cl2 O24,176
mp-1222227,Mn20 Si12 C1,10
mp-1226340,Cr2 Sb1 As1,187
mp-1272373,La4 Mn4 O12,58
mp-1273769,La8 Mn8 O24,12
mp-1305431,Ca2 Y2 Mn4 O12,6
mp-1520090,Li2 La2 Fe8 O24,38
mp-18395,Ca12 Mn8 O28,63
mp-18928,Mn8 Si4 O16,62
mp-19004,Sr16 Fe16 O46,139
mp-20699,Y4 Mn4 O12,62
mp-504445,Ba2 Fe8 O14,176
mp-530347,La22 Mn24 O72,11
mp-540593,Ca4 Cr8 O16,62
mp-541374,Rb8 Mn8 H16 O8 F32,15
mp-562027,Ba6 Co6 Si6 O24,173
mp-5779,Sm12 Ru4 O28,63
mp-652683,Ba8 Fe24 O44,58
mp-705834,Ba6 Fe90 O138,166
mp-754418,Co12 O2 F22,38
mp-755111,Li1 V4 O1 F11,3
mp-755195,Fe12 O20 F4,12
mp-756227,Li4 V8 F28,15
mp-756848,Fe16 O28 F4,12
mp-759097,V4 F12,62
mp-759142,Mn4 C6 O18,176
mp-759554,V12 O8 F20,62
mp-764044,Mn6 O2 F10,4
mp-765637,V6 F20,51
mp-765663,V4 F12,136
mp-772406,Li12 Fe12 P12 O48,14
mp-772409,Li12 Fe12 P12 O48,14
mp-779605,Cr8 O2 F22,5
